province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,variable,value
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_other_pc_total,0.68
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_other_pc_male,0.53
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_other_pc_female,0.84
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,urbanisation,population_urban,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,urbanisation,population_peri_urban,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,urbanisation,population_rural,826
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,urbanisation,population_pc_urban,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,urbanisation,population_pc_peri_urban,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,urbanisation,population_pc_rural,100
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,child marriage,population_20_24_total,77
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,child marriage,population_20_24_male,44
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,child marriage,population_20_24_female,33
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,child marriage,population_married_before_18_total,9
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,child marriage,population_married_before_18_male,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,child marriage,population_married_before_18_female,8
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,child marriage,child_marriage_rate_total,11.69
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,child marriage,child_marriage_rate_male,2.27
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,child marriage,child_marriage_rate_female,24.24
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,disabilities,population_with_disabilities,31
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,disabilities,population_without_disabilities,795
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,disabilities,population_disability_not_reported,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,disabilities,disability_prevlance_rate,3.75
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,demographics,population_density,12.7806800185162
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,demographics,total_households,163
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,demographics,population_total,550
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,demographics,population_male,293
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,demographics,population_female,257
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,demographics,average_household_size,3.374233128834356
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,demographics,sex_ratio,114.00778210116731
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,total_population_10_years_and_older,481
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,male_population_10_years_and_older,256
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,female_population_10_years_and_older,225
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,total_usually_economically_active_employed,331
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,male_usually_economically_active_employed,189
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,female_usually_economically_active_employed,142
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,total_usually_economically_active_unemployed,16
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,male_usually_economically_active_unemployed,8
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,female_usually_economically_active_unemployed,8
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,total_not_usually_economically_active,40
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,male_not_usually_economically_active,21
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,female_not_usually_economically_active,19
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,total_not_economically_active,94
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,male_not_economically_active,38
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,female_not_economically_active,56
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,total_economic_activity_not_stated,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,male_economic_activity_not_stated,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,economic activity,female_economic_activity_not_stated,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_all_ages,550
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_00_04_yrs,45
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_05_09_yrs,24
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_10_14_yrs,13
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_15_19_yrs,29
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_20_24_yrs,51
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_25_29_yrs,65
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_30_34_yrs,64
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_35_39_yrs,41
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_40_44_yrs,56
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_45_49_yrs,35
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_50_54_yrs,37
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_55_59_yrs,31
