province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,total_households,population_total,population_male,population_female,average_household_size,sex_ratio,total_population_10_years_and_older,male_population_10_years_and_older,female_population_10_years_and_older,total_usually_economically_active_employed,male_usually_economically_active_employed,female_usually_economically_active_employed,total_usually_economically_active_unemployed,male_usually_economically_active_unemployed,female_usually_economically_active_unemployed,total_not_usually_economically_active,male_not_usually_economically_active,female_not_usually_economically_active,total_not_economically_active,male_not_economically_active,female_not_economically_active,total_economic_activity_not_stated,male_economic_activity_not_stated,female_economic_activity_not_stated,total_all_ages,total_00_04_yrs,total_05_09_yrs,total_10_14_yrs,total_15_19_yrs,total_20_24_yrs,total_25_29_yrs,total_30_34_yrs,total_35_39_yrs,total_40_44_yrs,total_45_49_yrs,total_50_54_yrs,total_55_59_yrs,total_60_64_yrs,total_65_69_yrs,total_70_74_yrs,total_75_79_yrs,total_80_84_yrs,total_85_89_yrs,total_90_94_yrs,total_95plus_yrs,male_all_ages,male_00_04_yrs,male_05_09_yrs,male_10_14_yrs,male_15_19_yrs,male_20_24_yrs,male_25_29_yrs,male_30_34_yrs,male_35_39_yrs,male_40_44_yrs,male_45_49_yrs,male_50_54_yrs,male_55_59_yrs,male_60_64_yrs,male_65_69_yrs,male_70_74_yrs,male_75_79_yrs,male_80_84_yrs,male_85_89_yrs,male_90_94_yrs,male_95plus_yrs,female_all_ages,female_00_04_yrs,female_05_09_yrs,female_10_14_yrs,female_15_19_yrs,female_20_24_yrs,female_25_29_yrs,female_30_34_yrs,female_35_39_yrs,female_40_44_yrs,female_45_49_yrs,female_50_54_yrs,female_55_59_yrs,female_60_64_yrs,female_65_69_yrs,female_70_74_yrs,female_75_79_yrs,female_80_84_yrs,female_85_89_yrs,female_90_94_yrs,female_95plus_yrs,total_children_5_17,male_children_5_17,female_children_5_17,currently_attending_school_male,currently_attending_school_female,oos_ever_attended_school_male,oos_ever_attended_school_female,oos_never_attended_school_male,oos_never_attended_school_female,currently_attending_school_total_pc,currently_attending_school_male_pc,currently_attending_school_female_pc,oos_ever_attended_school_total_pc,oos_ever_attended_school_male_pc,oos_ever_attended_school_female_pc,oos_never_attended_school_total_pc,oos_never_attended_school_male_pc,oos_never_attended_school_female_pc,population_15plus_total,population_15plus_male,population_15plus_female,literate_population_total,literate_population_male,literate_population_female,literacy_rate_total,literacy_rate_male,literacy_rate_female,population_0_14,population_15_64,population_65plus,child_dependency_ratio,elderly_dependency_ratio,total_dependency_ratio,population_5plus_total,population_5plus_male,population_5plus_female,education_level_illiterate_male,education_level_illiterate_female,education_level_early_childhood_male,education_level_early_childhood_female,education_level_basic_level_male,education_level_basic_level_female,education_level_secondary_male,education_level_secondary_female,education_level_higher_education_male,education_level_higher_education_female,education_level_other_male,education_level_other_female,education_level_illiterate_pc_total,education_level_illiterate_pc_male,education_level_illiterate_pc_female,education_level_early_childhood_pc_total,education_level_early_childhood_pc_male,education_level_early_childhood_pc_female,education_level_basic_level_pc_total,education_level_basic_level_pc_male,education_level_basic_level_pc_female,education_level_secondary_pc_total,education_level_secondary_pc_male,education_level_secondary_pc_female,education_level_higher_education_pc_total,education_level_higher_education_pc_male,education_level_higher_education_pc_female,education_level_other_pc_total,education_level_other_pc_male,education_level_other_pc_female,population_urban,population_peri_urban,population_rural,population_pc_urban,population_pc_peri_urban,population_pc_rural,population_20_24_total,population_20_24_male,population_20_24_female,population_married_before_18_total,population_married_before_18_male,population_married_before_18_female,child_marriage_rate_total,child_marriage_rate_male,child_marriage_rate_female,total_population,population_with_disabilities,population_without_disabilities,population_disability_not_reported,disability_prevlance_rate,population_density
Bagmati,Sindhuli,Sunkoshi,NP03,NP0320,NP0320404,4987,18375,8834,9541,3.6845799077601766,92.58987527512839,15877,7529,8348,8926,4626,4300,287,126,161,3243,1267,1976,3414,1509,1905,7,1,6,18375,1178,1320,1661,1990,1501,1271,1134,1146,1184,1070,1154,936,917,653,554,378,163,115,34,16,8834,615,690,845,945,674,616,555,504,560,498,554,453,430,312,277,162,75,54,12,3,9541,563,630,816,1045,827,655,579,642,624,572,600,483,487,341,277,216,88,61,22,13,4181,2116,2065,1955,1951,117,87,43,27,93.42,92.39,94.48,4.88,5.53,4.21,1.67,2.03,1.31,14216,6684,7532,9253,5102,4151,65.09,76.33,55.11,4159,12303,1913,33.8,15.55,49.35,17197,8219,8978,1625,3411,201,191,3568,2863,2408,2086,245,140,172,287,29.28,19.77,37.99,2.28,2.45,2.13,37.4,43.41,31.89,26.13,29.3,23.23,2.24,2.98,1.56,2.67,2.09,3.2,0,0,18375,0,0,100,1501,674,827,164,32,132,10.93,4.75,15.96,18375,539,17836,0,2.93,NA
Bagmati,Sindhuli,Ghyanglekha,NP03,NP0320,NP0320403,2868,12652,6153,6499,4.4114365411436545,94.67610401600245,10321,4970,5351,4130,2059,2071,335,202,133,4674,2142,2532,1179,565,614,3,2,1,12652,1101,1230,1559,1604,1103,821,674,722,657,597,635,537,507,314,254,200,66,52,15,4,6153,576,607,792,773,535,385,334,319,298,277,321,256,269,153,113,94,24,22,3,2,6499,525,623,767,831,568,436,340,403,359,320,314,281,238,161,141,106,42,30,12,2,3768,1871,1897,1680,1705,142,144,49,47,89.84,89.79,89.88,7.59,7.59,7.59,2.55,2.62,2.48,8762,4178,4584,5500,3039,2461,62.77,72.74,53.69,3890,7857,905,49.51,11.52,61.03,11551,5577,5974,1190,2162,172,156,2788,2297,1241,1125,91,39,95,195,29.02,21.34,36.19,2.84,3.08,2.61,44.02,49.99,38.45,20.48,22.25,18.83,1.13,1.63,0.65,2.51,1.7,3.26,0,0,12652,0,0,100,1103,535,568,186,41,145,16.86,7.66,25.53,12652,345,12306,1,2.73,NA
Bagmati,Sindhuli,Marin,NP03,NP0320,NP0320402,6044,28808,14184,14624,4.766379880873593,96.99124726477024,23119,11297,11822,11475,6524,4951,530,295,235,4460,1736,2724,6638,2734,3904,16,8,8,28808,2668,3021,3187,3469,2809,2316,1867,1782,1457,1273,1458,989,863,656,461,288,126,80,28,10,14184,1355,1532,1588,1723,1400,1107,908,848,684,606,746,494,406,317,222,134,66,29,14,5,14624,1313,1489,1599,1746,1409,1209,959,934,773,667,712,495,457,339,239,154,60,51,14,5,8282,4136,4146,3533,3605,423,349,175,191,86.19,85.42,86.95,9.32,10.23,8.42,4.42,4.23,4.61,19932,9709,10223,12014,6892,5122,60.27,70.99,50.1,8876,18283,1649,48.55,9.02,57.57,26140,12829,13311,3003,5278,399,369,6163,4696,2747,2502,193,138,324,328,31.68,23.41,39.65,2.94,3.11,2.77,41.54,48.04,35.28,20.08,21.41,18.8,1.27,1.5,1.04,2.49,2.53,2.46,0,0,28808,0,0,100,2809,1400,1409,487,132,355,17.34,9.43,25.2,28808,556,28251,1,1.93,NA
Bagmati,Sindhuli,Hariharpurgaghi,NP03,NP0320,NP0320401,5292,26505,12900,13605,5.008503401360544,94.8180815876516,21153,10276,10877,11639,6178,5461,322,199,123,4427,1726,2701,4756,2171,2585,9,2,7,26505,2563,2789,3243,3076,2589,2029,1705,1552,1309,1306,1346,872,735,553,397,253,96,68,13,11,12900,1264,1360,1577,1471,1244,1007,823,758,595,657,672,453,355,265,196,126,37,31,4,5,13605,1299,1429,1666,1605,1345,1022,882,794,714,649,674,419,380,288,201,127,59,37,9,6,7875,3830,4045,3189,3393,414,429,227,223,83.58,83.26,83.88,10.7,10.81,10.61,5.71,5.93,5.51,17910,8699,9211,10579,6058,4521,59.07,69.64,49.08,8595,16519,1391,52.03,8.42,60.45,23942,11636,12306,2890,4904,326,335,5673,4781,2408,1986,126,55,213,245,32.55,24.84,39.85,2.76,2.8,2.72,43.66,48.75,38.85,18.35,20.69,16.14,0.76,1.08,0.45,1.91,1.83,1.99,0,0,26505,0,0,100,2589,1244,1345,473,133,340,18.27,10.69,25.28,26505,729,25775,1,2.75,NA
Bagmati,Makwanpur,Indrasarowar,NP03,NP0331,NP0331405,3403,13534,6617,6917,3.9770790478989126,95.66285962122308,11531,5614,5917,6999,3533,3466,71,40,31,1835,809,1026,2618,1226,1392,8,6,2,13534,917,1086,1218,1269,1258,1271,1034,850,876,713,766,623,574,461,275,174,88,63,12,6,6617,480,523,584,619,623,629,542,412,415,313,376,285,278,239,127,93,45,25,6,3,6917,437,563,634,650,635,642,492,438,461,400,390,338,296,222,148,81,43,38,6,3,3064,1484,1580,1295,1421,156,127,33,32,88.64,87.26,89.94,9.24,10.51,8.04,2.12,2.22,2.03,10313,5030,5283,6771,3746,3025,65.65,74.47,57.26,3221,9234,1079,34.88,11.69,46.57,12617,6137,6480,1320,2283,122,156,3180,2541,1152,1181,109,85,254,234,28.56,21.51,35.23,2.2,1.99,2.41,45.34,51.82,39.21,18.49,18.77,18.23,1.54,1.78,1.31,3.87,4.14,3.61,0,0,13534,0,0,100,1258,623,635,171,62,109,13.59,9.95,17.17,13534,295,13239,0,2.18,NA
Bagmati,Makwanpur,Thaha,NP03,NP0331,NP0331301,9749,38870,19131,19739,3.987075597497179,96.91980343482446,32922,16031,16891,20353,10575,9778,364,173,191,4924,1968,2956,7268,3311,3957,13,4,9,38870,2672,3276,3573,3969,3500,3368,2998,2706,2406,1868,2175,1715,1570,1228,798,597,250,144,41,16,19131,1398,1702,1751,1996,1729,1638,1478,1300,1166,844,1045,822,760,581,381,297,134,82,19,8,19739,1274,1574,1822,1973,1771,1730,1520,1406,1240,1024,1130,893,810,647,417,300,116,62,22,8,9273,4665,4608,4161,4222,432,316,72,70,90.4,89.2,91.62,8.07,9.26,6.86,1.53,1.54,1.52,29349,14280,15069,20097,11220,8877,68.48,78.57,58.91,9521,26275,3074,36.24,11.7,47.94,36198,17733,18465,3124,6254,535,423,8817,6729,4174,3907,447,363,636,789,25.91,17.62,33.87,2.65,3.02,2.29,42.95,49.72,36.44,22.32,23.54,21.16,2.24,2.52,1.97,3.94,3.59,4.27,7615,0,31255,19.59,0,80.41,3500,1729,1771,429,97,332,12.26,5.61,18.75,38870,742,38128,0,1.91,NA
Bagmati,Makwanpur,Kailash,NP03,NP0331,NP0331403,4391,21856,11122,10734,4.977453882942382,103.61468231786846,17733,9031,8702,9487,5193,4294,446,258,188,3083,1416,1667,4717,2164,2553,0,0,0,21856,1978,2145,2588,2604,2282,1689,1294,1198,1126,935,1014,745,644,563,450,319,140,86,32,24,11122,1004,1087,1292,1330,1178,887,655,610,562,458,526,403,318,316,210,156,71,35,15,9,10734,974,1058,1296,1274,1104,802,639,588,564,477,488,342,326,247,240,163,69,51,17,15,6297,3161,3136,2623,2638,370,307,168,191,83.55,82.98,84.12,10.75,11.71,9.79,5.7,5.31,6.09,15145,7739,7406,9063,5180,3883,59.84,66.93,52.43,6711,13531,1614,49.6,11.93,61.53,19878,10118,9760,2701,3691,238,229,5512,4246,1280,1235,87,59,300,300,32.16,26.69,37.82,2.35,2.35,2.35,49.09,54.48,43.5,12.65,12.65,12.65,0.73,0.86,0.6,3.02,2.97,3.07,0,0,21856,0,0,100,2282,1178,1104,519,159,360,22.74,13.5,32.61,21856,479,21377,0,2.19,NA
Bagmati,Makwanpur,Raksirang,NP03,NP0331,NP0331402,5044,25996,13201,12795,5.153846153846154,103.17311449785072,20455,10417,10038,11485,6249,5236,147,80,67,3332,1519,1813,5487,2567,2920,4,2,2,25996,2729,2812,3085,2944,2835,2135,1587,1361,1244,1036,1091,786,744,519,512,302,148,81,31,14,13201,1359,1425,1569,1505,1428,1129,830,667,623,519,558,427,384,282,227,138,65,41,15,10,12795,1370,1387,1516,1439,1407,1006,757,694,621,517,533,359,360,237,285,164,83,40,16,4,7654,3884,3770,3056,3115,529,403,299,252,80.62,78.68,82.63,12.18,13.62,10.69,7.2,7.7,6.68,17370,8848,8522,11000,6308,4692,63.33,71.29,55.06,8626,15763,1607,54.72,10.19,64.92,23267,11842,11425,2854,4079,342,313,6918,5412,1432,1318,62,46,234,257,29.8,24.1,35.7,2.82,2.89,2.74,52.99,58.42,47.37,11.82,12.09,11.54,0.46,0.52,0.4,2.11,1.98,2.25,0,0,25996,0,0,100,2835,1428,1407,625,176,449,22.05,12.32,31.91,25996,375,25621,0,1.44,NA
Bagmati,Makwanpur,Manahari,NP03,NP0331,NP0331401,10724,47353,23395,23958,4.4156098470719884,97.6500542616245,38653,18873,19780,20307,11234,9073,620,372,248,5832,2421,3411,11784,4793,6991,110,53,57,47353,4229,4471,4614,5081,4708,4472,3884,3188,2555,2093,2124,1546,1431,1065,821,530,273,169,65,34,23395,2208,2314,2306,2519,2208,2139,1896,1584,1259,1005,1032,801,710,522,397,255,129,73,23,15,23958,2021,2157,2308,2562,2500,2333,1988,1604,1296,1088,1092,745,721,543,424,275,144,96,42,19,12062,6075,5987,5245,5436,679,397,150,152,88.55,86.34,90.8,8.92,11.18,6.63,2.5,2.47,2.54,34039,16567,17472,24709,13272,11437,72.59,80.11,65.46,13314,31082,2957,42.84,9.51,52.35,43124,21187,21937,3425,6169,683,628,11392,9006,4497,4857,401,366,789,911,22.25,16.17,28.12,3.04,3.22,2.86,47.3,53.77,41.05,21.69,21.23,22.14,1.78,1.89,1.67,3.94,3.72,4.15,9291,9542,28520,19.62,20.15,60.23,4708,2208,2500,770,170,600,16.36,7.7,24,47353,1161,46192,0,2.45,NA
Bagmati,Makwanpur,Hetauda,NP03,NP0331,NP0331201,46566,193576,95678,97898,4.157024438431473,97.73233365339435,163886,79939,83947,70085,44797,25288,5727,2973,2754,27002,9010,17992,60970,23109,37861,102,50,52,193576,14196,15494,15831,18102,18336,18278,17420,15779,13302,10204,10115,7508,6470,4777,3234,2250,1163,736,247,134,95678,7551,8188,8216,9355,8692,8325,8139,7580,6588,5080,4956,3728,3279,2384,1554,1042,544,331,107,39,97898,6645,7306,7615,8747,9644,9953,9281,8199,6714,5124,5159,3780,3191,2393,1680,1208,619,405,140,95,41894,21880,20014,20110,18807,1451,943,319,264,92.89,91.91,93.97,5.71,6.63,4.71,1.39,1.46,1.32,148055,71723,76332,119812,62820,56992,80.92,87.59,74.66,45521,135514,12541,33.59,9.25,42.85,179380,88127,91253,9192,19592,2727,2360,37461,30924,30295,29580,6590,5893,1862,2904,16.05,10.43,21.47,2.84,3.09,2.59,38.12,42.51,33.89,33.38,34.38,32.42,6.96,7.48,6.46,2.66,2.11,3.18,95786,78754,19036,49.48,40.68,9.83,18336,8692,9644,1769,338,1431,9.65,3.89,14.84,193576,4011,189558,7,2.07,NA
Bagmati,Makwanpur,Bhimphedi,NP03,NP0331,NP0331404,5085,21516,10683,10833,4.231268436578171,98.61534201052339,18003,8868,9135,9180,5226,3954,273,142,131,3781,1441,2340,4763,2055,2708,6,4,2,21516,1726,1787,1918,2206,2177,1903,1581,1395,1327,997,1208,877,823,640,419,322,108,74,23,5,10683,902,913,953,1105,1078,963,778,692,612,473,603,424,420,319,193,157,53,35,6,4,10833,824,874,965,1101,1099,940,803,703,715,524,605,453,403,321,226,165,55,39,17,1,4962,2478,2484,2142,2252,272,191,64,41,88.55,86.44,90.66,9.33,10.98,7.69,2.12,2.58,1.65,16085,7915,8170,11269,6309,4960,70.06,79.71,60.71,5431,14494,1591,37.47,10.98,48.45,19790,9781,10009,1652,3246,291,229,5543,4156,2028,2048,141,144,126,186,24.75,16.89,32.43,2.63,2.98,2.29,49.01,56.67,41.52,20.6,20.73,20.46,1.44,1.44,1.44,1.58,1.29,1.86,0,0,21516,0,0,100,2177,1078,1099,281,53,228,12.91,4.92,20.75,21516,504,21010,2,2.34,NA
Bagmati,Makwanpur,Makawanpurgadhi,NP03,NP0331,NP0331406,5285,24461,12273,12188,4.628382213812677,100.69740728585495,20191,10070,10121,12640,6748,5892,365,189,176,3810,1635,2175,3374,1498,1876,2,0,2,24461,2063,2207,2271,2551,2636,2225,1759,1460,1387,1195,1298,945,861,584,443,310,130,90,36,10,12273,1060,1143,1130,1252,1313,1172,881,725,647,592,648,476,445,288,217,149,63,42,22,8,12188,1003,1064,1141,1299,1323,1053,878,735,740,603,650,469,416,296,226,161,67,48,14,2,5975,3025,2950,2626,2690,340,218,59,42,88.97,86.81,91.19,9.34,11.24,7.39,1.69,1.95,1.42,17920,8940,8980,12999,7122,5877,72.54,79.66,65.45,6541,16317,1603,40.09,9.82,49.91,22398,11213,11185,1864,3137,305,314,6207,4695,2358,2352,215,233,264,454,22.33,16.62,28.05,2.76,2.72,2.81,48.67,55.36,41.98,21.03,21.03,21.03,2,1.92,2.08,3.21,2.35,4.06,2763,0,21698,11.3,0,88.7,2636,1313,1323,366,81,285,13.88,6.17,21.54,24461,458,24002,1,1.87,NA
Bagmati,Makwanpur,Bakaiya,NP03,NP0331,NP0331407,8913,40907,20058,20849,4.589588241893863,96.20605304810782,33323,16307,17016,14281,7774,6507,1245,849,396,7865,3357,4508,9876,4293,5583,56,34,22,40907,3526,4058,4408,4513,4013,3241,2821,2584,2403,2032,1974,1467,1326,1002,669,510,201,108,27,24,20058,1745,2006,2214,2237,1925,1542,1392,1229,1158,971,1002,770,669,465,326,253,91,50,7,6,20849,1781,2052,2194,2276,2088,1699,1429,1355,1245,1061,972,697,657,537,343,257,110,58,20,18,11124,5572,5552,4557,4666,557,459,458,427,82.91,81.78,84.04,9.13,10,8.27,7.96,8.22,7.69,28915,14093,14822,18081,9882,8199,62.53,70.12,55.32,11992,26374,2541,45.47,9.63,55.1,37381,18313,19068,4592,6983,469,489,9770,7886,2795,2872,230,206,457,632,30.96,25.08,36.62,2.56,2.56,2.56,47.23,53.35,41.36,15.16,15.26,15.06,1.17,1.26,1.08,2.91,2.5,3.31,0,0,40907,0,0,100,4013,1925,2088,677,168,509,16.87,8.73,24.38,40907,1145,39760,2,2.8,NA
Bagmati,Makwanpur,Bagmati,NP03,NP0331,NP0331408,6460,30425,14910,15515,4.709752321981425,96.10054785691267,25051,12144,12907,8272,4523,3749,1708,1125,583,9090,3859,5231,5968,2626,3342,13,11,2,30425,2617,2757,3292,3452,2925,2474,2091,1903,1713,1540,1568,1110,896,808,595,424,135,71,27,27,14910,1348,1418,1648,1646,1403,1208,1038,904,825,712,826,563,439,379,242,188,64,38,15,6,15515,1269,1339,1644,1806,1522,1266,1053,999,888,828,742,547,457,429,353,236,71,33,12,21,8129,4062,4067,3482,3531,423,389,157,147,86.27,85.72,86.82,9.99,10.41,9.56,3.74,3.87,3.61,21759,10496,11263,13390,7382,6008,61.54,70.33,53.34,8666,19672,2087,44.05,10.61,54.66,27808,13562,14246,3269,5375,320,275,7006,5697,2616,2407,178,133,173,359,31.08,24.1,37.73,2.14,2.36,1.93,45.68,51.66,39.99,18.06,19.29,16.9,1.12,1.31,0.93,1.91,1.28,2.52,0,0,30425,0,0,100,2925,1403,1522,493,126,367,16.85,8.98,24.11,30425,863,29562,0,2.84,NA
Bagmati,Chitawan,Rapti,NP03,NP0335,NP0335304,15215,66617,32677,33940,4.378376602037463,96.27872716558633,54791,26482,28309,23733,13918,9815,1837,1026,811,10531,3925,6606,18614,7581,11033,76,32,44,66617,5721,6105,5979,6656,6449,5855,5161,4663,4003,3353,3309,2566,2200,1649,1291,832,436,243,100,46,32677,2992,3203,3152,3454,3064,2627,2329,2137,1859,1587,1588,1277,1098,830,650,433,221,117,44,15,33940,2729,2902,2827,3202,3385,3228,2832,2526,2144,1766,1721,1289,1102,819,641,399,215,126,56,31,15919,8378,7541,7274,6657,730,574,374,310,87.51,86.82,88.28,8.19,8.71,7.61,4.3,4.46,4.11,48812,23330,25482,35640,18486,17154,73.01,79.24,67.32,17805,44215,4597,40.27,10.4,50.67,60896,29685,31211,5199,8646,902,740,13941,11998,8080,7819,968,1048,595,960,22.74,17.51,27.7,2.7,3.04,2.37,42.6,46.96,38.44,26.11,27.22,25.05,3.31,3.26,3.36,2.55,2,3.08,0,48942,17675,0,73.47,26.53,6449,3064,3385,1096,262,834,16.99,8.55,24.64,66617,1779,64837,1,2.67,NA
Bagmati,Chitawan,Kalika,NP03,NP0335,NP0335301,12258,52164,25491,26673,4.255506607929515,95.56855246878865,43378,20784,22594,19723,11787,7936,752,433,319,7019,2368,4651,15844,6175,9669,40,21,19,52164,4245,4541,4648,5190,5067,4762,4082,3780,3390,2617,2684,1847,1665,1311,998,684,315,208,83,47,25491,2304,2403,2372,2600,2362,2187,1874,1707,1557,1268,1333,925,828,662,467,326,139,120,38,19,26673,1941,2138,2276,2590,2705,2575,2208,2073,1833,1349,1351,922,837,649,531,358,176,88,45,28,12035,6224,5811,5591,5299,467,369,166,143,90.49,89.83,91.19,6.95,7.5,6.35,2.57,2.67,2.46,38730,18412,20318,28977,14963,14014,74.82,81.27,68.97,13434,35084,3646,38.29,10.39,48.68,47919,23187,24732,3602,6430,827,687,10948,9665,6655,6572,672,576,483,802,20.94,15.53,26,3.16,3.57,2.78,43.02,47.22,39.08,27.6,28.7,26.57,2.6,2.9,2.33,2.68,2.08,3.24,6380,30342,15442,12.23,58.17,29.6,5067,2362,2705,864,160,704,17.05,6.77,26.03,52164,1111,51053,0,2.13,NA
Bagmati,Chitawan,Ichchha Kamana,NP03,NP0335,NP0335401,6185,27643,14007,13636,4.469361358124495,102.72073921971253,22375,11314,11061,11967,6960,5007,670,396,274,3418,1343,2075,6298,2608,3690,22,7,15,27643,2622,2646,2930,3046,2647,2470,2017,1727,1523,1249,1225,910,765,650,539,333,182,98,45,19,14007,1335,1358,1503,1594,1285,1263,998,813,747,632,643,520,367,333,268,173,98,56,14,7,13636,1287,1288,1427,1452,1362,1207,1019,914,776,617,582,390,398,317,271,160,84,42,31,12,7379,3793,3586,3064,3017,485,364,244,205,82.41,80.78,84.13,11.51,12.79,10.15,6.08,6.43,5.72,19445,9811,9634,13342,7376,5966,68.61,75.18,61.93,8198,17579,1866,46.64,10.61,57.25,25021,12672,12349,2622,3838,377,324,6740,5358,2459,2299,252,179,222,351,25.82,20.69,31.08,2.8,2.98,2.62,48.35,53.19,43.39,19.02,19.4,18.62,1.72,1.99,1.45,2.29,1.75,2.84,0,0,27643,0,0,100,2647,1285,1362,549,144,405,20.74,11.21,29.74,27643,614,27029,0,2.22,NA
Bagmati,Chitawan,Bharatpur,NP03,NP0335,NP0335101,96591,369268,178897,190371,3.8230062842293795,93.97282149066822,317000,150448,166552,138319,80163,58156,9464,4428,5036,50773,18499,32274,118205,47239,70966,239,119,120,369268,23834,28434,29990,36188,36233,32867,30116,29025,26698,21164,20193,14923,12757,9615,7267,4889,2710,1443,629,293,178897,12831,15618,15953,18983,16980,14386,12870,12315,12178,10164,10080,7519,6304,4623,3435,2276,1308,666,296,112,190371,11003,12816,14037,17205,19253,18481,17246,16710,14520,11000,10113,7404,6453,4992,3832,2613,1402,777,333,181,78854,42430,36424,40005,34822,1905,1230,511,361,94.89,94.28,95.6,3.98,4.49,3.38,1.11,1.2,0.99,287010,134495,152515,243597,121851,121746,84.87,90.6,79.83,82258,260164,26846,31.62,10.32,41.94,345434,166066,179368,13078,31113,5180,4200,61875,58682,66699,66980,16212,13238,3022,5155,12.79,7.88,17.35,2.72,3.12,2.34,34.9,37.26,32.72,38.7,40.16,37.34,8.53,9.76,7.38,2.37,1.82,2.87,171311,180598,17359,46.39,48.91,4.7,36233,16980,19253,3208,489,2719,8.85,2.88,14.12,369268,7974,361277,17,2.16,NA
Bagmati,Chitawan,Ratnanagar,NP03,NP0335,NP0335302,22403,89905,43531,46374,4.0130786055439005,93.86940958295597,76742,36391,40351,31412,19233,12179,2957,1512,1445,12592,4317,8275,29671,11276,18395,110,53,57,89905,6151,7012,7100,8075,8330,7996,7363,7076,6440,5162,5339,3715,3273,2472,1784,1368,651,361,167,70,43531,3319,3821,3783,4184,3922,3468,3096,3116,3017,2435,2612,1864,1581,1214,835,662,323,181,65,33,46374,2832,3191,3317,3891,4408,4528,4267,3960,3423,2727,2727,1851,1692,1258,949,706,328,180,102,37,18675,10018,8657,9415,8237,469,322,131,97,94.52,93.98,95.15,4.24,4.68,3.72,1.22,1.31,1.12,69642,32608,37034,55701,28209,27492,79.98,86.51,74.23,20263,62769,6873,32.28,10.95,43.23,83754,40212,43542,4526,9645,1381,1168,14869,13805,15549,15149,3153,2529,734,1246,16.92,11.26,22.15,3.04,3.43,2.68,34.24,36.98,31.71,36.65,38.67,34.79,6.78,7.84,5.81,2.36,1.83,2.86,34280,55625,0,38.13,61.87,0,8330,3922,4408,754,120,634,9.05,3.06,14.38,89905,1642,88249,14,1.83,NA
Bagmati,Chitawan,Khairahani,NP03,NP0335,NP0335303,16395,67385,32332,35053,4.110094541018603,92.23746897555131,57286,26907,30379,27499,15419,12080,1545,828,717,10417,3538,6879,17653,7044,10609,172,78,94,67385,4788,5311,5189,5622,6273,6152,5489,5257,4713,3869,4134,2814,2577,1942,1371,963,504,274,96,47,32332,2574,2851,2761,2876,2845,2651,2252,2284,2220,1823,1990,1395,1279,958,642,482,243,134,50,22,35053,2214,2460,2428,2746,3428,3501,3237,2973,2493,2046,2144,1419,1298,984,729,481,261,140,46,25,13606,7236,6370,6801,6050,314,206,121,113,94.45,93.99,94.98,3.82,4.34,3.23,1.72,1.67,1.77,52097,24146,27951,40093,20280,19813,76.96,83.99,70.88,15288,46900,5197,32.6,11.08,43.68,62597,29758,32839,3988,8234,959,817,11778,10429,10938,10822,1562,1551,533,986,19.52,13.4,25.07,2.84,3.22,2.49,35.48,39.58,31.76,34.76,36.76,32.95,4.97,5.25,4.72,2.43,1.79,3,20044,47341,0,29.75,70.25,0,6273,2845,3428,663,122,541,10.57,4.29,15.78,67385,1508,65870,7,2.24,NA
Bagmati,Chitawan,Madi,NP03,NP0335,NP0335305,10120,38295,18083,20212,3.784090909090909,89.46665347318424,31975,14735,17240,19311,9299,10012,583,329,254,6001,2411,3590,6062,2689,3373,18,7,11,38295,3055,3265,3256,3443,3182,3283,2753,2517,2375,2156,2305,1838,1644,1279,912,605,241,117,47,22,18083,1675,1673,1690,1674,1433,1360,1143,1043,1044,953,1076,930,796,628,436,305,131,63,22,8,20212,1380,1592,1566,1769,1749,1923,1610,1474,1331,1203,1229,908,848,651,476,300,110,54,25,14,8573,4363,4210,3997,3878,286,261,80,71,91.86,91.61,92.11,6.38,6.56,6.2,1.76,1.83,1.69,28719,13045,15674,21318,10619,10699,74.23,81.4,68.26,9576,25496,3223,37.56,12.64,50.2,35240,16408,18832,2512,5065,657,559,7579,7664,4703,4446,474,369,483,729,21.5,15.31,26.9,3.45,4,2.97,43.25,46.19,40.7,25.96,28.66,23.61,2.39,2.89,1.96,3.44,2.94,3.87,5065,0,33230,13.23,0,86.77,3182,1433,1749,606,96,510,19.04,6.7,29.16,38295,1604,36690,1,4.19,NA
Gandaki,Gorkha,Chumanubri,NP04,NP0436,NP0436401,2068,5932,2845,3087,2.8684719535783367,92.16067379332685,4783,2251,2532,2622,1350,1272,59,29,30,1292,546,746,797,318,479,13,8,5,5932,653,496,290,336,419,465,471,417,443,373,387,295,318,195,204,106,39,18,4,3,2845,338,256,124,159,200,234,233,185,218,176,180,129,151,95,102,38,19,5,2,1,3087,315,240,166,177,219,231,238,232,225,197,207,166,167,100,102,68,20,13,2,2,972,472,500,341,350,46,50,79,92,71.09,72.25,70,9.88,9.75,10,17.59,16.74,18.4,4493,2127,2366,1460,932,528,32.49,43.82,22.32,1439,3924,569,36.67,14.5,51.17,5279,2507,2772,1266,1916,80,65,689,522,253,148,23,5,196,116,60.28,50.5,69.12,2.75,3.19,2.34,22.94,27.48,18.83,7.6,10.09,5.34,0.53,0.92,0.18,5.91,7.82,4.18,0,0,5932,0,0,100,419,200,219,39,9,30,9.31,4.5,13.7,5932,300,5609,23,5.06,NA
