province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,variable,value
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_washing_machine,9
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_air_conditioner,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,wealth quintile,wealth_quintile_poorest_quintile_count,5
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,wealth quintile,wealth_quintile_poorer_quintile_count,28
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,wealth quintile,wealth_quintile_middle_quintile_count,66
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,wealth quintile,wealth_quintile_richer_quintile_count,36
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,wealth quintile,wealth_quintile_richest_quintile_count,28
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,wealth quintile,wealth_quintile_poorest_quintile_pc,3.07
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,wealth quintile,wealth_quintile_poorer_quintile_pc,17.18
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,wealth quintile,wealth_quintile_middle_quintile_pc,40.49
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,wealth quintile,wealth_quintile_richer_quintile_pc,22.09
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,wealth quintile,wealth_quintile_richest_quintile_pc,17.18
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,house_quality_most_adequate_count,37
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,house_quality_adequate_count,49
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,house_quality_moderate_count,74
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,house_quality_inadequate_count,3
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,house_quality_least_adequate_count,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,house_quality_most_adequate_pc,22.7
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,house_quality_adequate_pc,30.06
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,house_quality_moderate_pc,45.4
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,house_quality_inadequate_pc,1.84
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,house_quality_least_adequate_pc,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,demographics,total_households,169
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,home_ownership_owned,144
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,home_ownership_rented,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,home_ownership_institutional,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,home_ownership_other,22
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,foundation_mud,11
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,foundation_mud_bonded_bricks_stone,115
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,foundation_cement_bonded_bricks_stone,9
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,foundation_reinforced_cement_concrete_with_pillars,18
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,foundation_wooden_pillars,16
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,outer_wall_mud_bonded_bricks_stone,10
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,outer_wall_cement_bonded_bricks_stone,122
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,outer_wall_wood_planks,15
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,outer_wall_bamboo,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,outer_wall_unbaked_bricks,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,outer_wall_galvanised_sheet,12
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,outer_wall_prefabricated_sheet,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,outer_wall_other,10
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,roof_galvanised_sheet,150
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,roof_reinforced_cement_concrete,13
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,roof_thatch_straw,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,roof_tile,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,roof_stone_slate,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,roof_wood_planks,3
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,roof_mud,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,roof_other,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,floor_mud,25
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,floor_wooden_plank_bamboo,74
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,floor_bricks_stone,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,floor_ceramic_tile,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,floor_cemented,70
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,housing,floor_other,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,drinking water,drinking_water_tap_piped_within_premises,63
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,drinking water,drinking_water_tap_piped_outside_premises,87
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,drinking water,drinking_water_tubewell_handpump,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,drinking water,drinking_water_covered_well_kuwa,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,drinking water,drinking_water_uncovered_well_kuwa,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,drinking water,drinking_water_spout_water,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,drinking water,drinking_water_river_stream,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,drinking water,drinking_water_jar_bottle,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,drinking water,drinking_water_other,18
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,cooking fuel,cooking_fuel_wood_firewood,126
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,cooking fuel,cooking_fuel_lpg,43
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,cooking fuel,cooking_fuel_electricity,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,cooking fuel,cooking_fuel_cowdung,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,cooking fuel,cooking_fuel_biogas,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,cooking fuel,cooking_fuel_kerosene,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,cooking fuel,cooking_fuel_other,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,lighting fuel,lighting_electricity,163
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,lighting fuel,lighting_solar,4
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,lighting fuel,lighting_kerosene,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,lighting fuel,lighting_biogas,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,lighting fuel,lighting_other,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,sanitation,toilet_flush_public_sewerage,0
