province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,rdna_affected,variable,value
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,outer_wall_cement_bonded_bricks_stone,185
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,outer_wall_wood_planks,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,outer_wall_bamboo,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,outer_wall_unbaked_bricks,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,outer_wall_galvanised_sheet,11
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,outer_wall_prefabricated_sheet,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,outer_wall_other,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,roof_galvanised_sheet,432
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,roof_reinforced_cement_concrete,38
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,roof_thatch_straw,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,roof_tile,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,roof_stone_slate,3
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,roof_wood_planks,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,roof_mud,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,roof_other,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,floor_mud,203
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,floor_wooden_plank_bamboo,2
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,floor_bricks_stone,3
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,floor_ceramic_tile,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,floor_cemented,264
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,floor_other,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,drinking water,NA,drinking_water_tap_piped_within_premises,124
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,drinking water,NA,drinking_water_tap_piped_outside_premises,339
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,drinking water,NA,drinking_water_tubewell_handpump,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,drinking water,NA,drinking_water_covered_well_kuwa,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,drinking water,NA,drinking_water_uncovered_well_kuwa,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,drinking water,NA,drinking_water_spout_water,8
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,drinking water,NA,drinking_water_river_stream,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,drinking water,NA,drinking_water_jar_bottle,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,drinking water,NA,drinking_water_other,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,cooking fuel,NA,cooking_fuel_wood_firewood,450
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,cooking fuel,NA,cooking_fuel_lpg,23
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,cooking fuel,NA,cooking_fuel_electricity,0
