province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,total_households,home_ownership_owned,home_ownership_rented,home_ownership_institutional,home_ownership_other,foundation_mud,foundation_mud_bonded_bricks_stone,foundation_cement_bonded_bricks_stone,foundation_reinforced_cement_concrete_with_pillars,foundation_wooden_pillars,outer_wall_mud_bonded_bricks_stone,outer_wall_cement_bonded_bricks_stone,outer_wall_wood_planks,outer_wall_bamboo,outer_wall_unbaked_bricks,outer_wall_galvanised_sheet,outer_wall_prefabricated_sheet,outer_wall_other,roof_galvanised_sheet,roof_reinforced_cement_concrete,roof_thatch_straw,roof_tile,roof_stone_slate,roof_wood_planks,roof_mud,roof_other,floor_mud,floor_wooden_plank_bamboo,floor_bricks_stone,floor_ceramic_tile,floor_cemented,floor_other,drinking_water_tap_piped_within_premises,drinking_water_tap_piped_outside_premises,drinking_water_tubewell_handpump,drinking_water_covered_well_kuwa,drinking_water_uncovered_well_kuwa,drinking_water_spout_water,drinking_water_river_stream,drinking_water_jar_bottle,drinking_water_other,cooking_fuel_wood_firewood,cooking_fuel_lpg,cooking_fuel_electricity,cooking_fuel_cowdung,cooking_fuel_biogas,cooking_fuel_kerosene,cooking_fuel_other,lighting_electricity,lighting_solar,lighting_kerosene,lighting_biogas,lighting_other,toilet_flush_public_sewerage,toilet_flush_septic_tank,toilet_pit,toilet_public,toilet_no_toilet,hh_amenities_without,hh_amenities_at_least_one,hh_amenities_radio,hh_amenities_television,hh_amenities_landline,hh_amenities_mobile_phone_ordinary,hh_amenities_mobile_phone_smart,hh_amenities_computer_laptop,hh_amenities_internet,hh_amenities_car_jeep_van,hh_amenities_motorcycle_scooter,hh_amenities_bicycle,hh_amenities_electric_fan,hh_amenities_refridgerator,hh_amenities_washing_machine,hh_amenities_air_conditioner,wealth_quintile_poorest_quintile_count,wealth_quintile_poorer_quintile_count,wealth_quintile_middle_quintile_count,wealth_quintile_richer_quintile_count,wealth_quintile_richest_quintile_count,wealth_quintile_poorest_quintile_pc,wealth_quintile_poorer_quintile_pc,wealth_quintile_middle_quintile_pc,wealth_quintile_richer_quintile_pc,wealth_quintile_richest_quintile_pc,house_quality_most_adequate_count,house_quality_adequate_count,house_quality_moderate_count,house_quality_inadequate_count,house_quality_least_adequate_count,house_quality_most_adequate_pc,house_quality_adequate_pc,house_quality_moderate_pc,house_quality_inadequate_pc,house_quality_least_adequate_pc
Bagmati,Sindhupalchok,Jugal,NP03,NP0323,NP0323403,4528,4442,71,6,9,3827,391,282,22,6,3837,658,8,8,1,14,0,2,3976,512,5,0,28,3,0,4,3649,151,48,17,628,35,788,3144,0,5,43,543,5,0,0,4126,365,2,0,34,1,0,4056,468,0,1,3,196,3450,817,49,16,731,3797,1536,1089,211,3165,2401,272,1222,24,186,17,118,104,2,5,1805,1606,792,258,67,39.86,35.47,17.49,5.7,1.48,208,642,3357,320,1,4.59,14.18,74.14,7.07,0.02
Bagmati,Sindhupalchok,Panchpokhari Thangpal,NP03,NP0323,NP0323402,5914,5777,104,21,12,2131,2715,896,152,20,2242,3461,45,6,7,149,1,3,4069,1779,14,6,41,2,0,3,2066,165,61,30,3535,57,3122,1769,0,0,80,919,8,0,16,4685,1151,7,0,54,16,1,5653,233,16,1,11,139,4781,942,15,37,848,5066,2403,2123,19,3934,3092,156,392,18,393,85,240,249,2,2,1191,1099,2676,812,136,20.14,18.58,45.25,13.73,2.3,765,2900,2114,133,2,12.94,49.04,35.75,2.25,0.03
Bagmati,Sindhupalchok,Helambu,NP03,NP0323,NP0323401,4690,4549,112,23,6,2016,1837,651,170,16,1898,2563,29,21,6,169,1,3,3236,1378,28,7,35,2,0,4,1361,179,23,20,3065,42,2725,1753,0,4,129,68,11,0,0,3992,682,4,0,4,8,0,4632,47,8,0,3,21,4013,624,10,22,226,4464,2169,2212,215,3952,2921,134,548,24,442,84,228,203,5,2,622,1139,2147,651,131,13.26,24.29,45.78,13.88,2.79,489,2706,1414,73,8,10.43,57.7,30.15,1.56,0.17
Bagmati,Sindhupalchok,Melamchi,NP03,NP0323,NP0323301,11180,10753,381,15,31,3745,5794,1342,189,110,3498,7306,43,7,12,256,16,42,7653,3375,18,8,105,12,0,9,2978,390,76,42,7581,113,3255,6481,0,77,299,971,62,3,32,8976,2131,10,1,35,26,1,11020,132,22,2,4,101,9360,1526,50,143,805,10375,6370,4667,100,9162,6825,810,2313,144,1537,542,1424,899,31,12,1196,2125,5344,1846,669,10.7,19.01,47.8,16.51,5.98,1513,6340,3134,188,5,13.53,56.71,28.03,1.68,0.04
Bagmati,Sindhupalchok,Indrawoti,NP03,NP0323,NP0323405,6780,6671,85,13,11,2570,3323,751,109,27,2035,4521,30,15,15,144,1,19,4910,1779,8,5,71,6,0,1,1443,173,45,15,5017,87,2213,3178,0,19,227,1117,24,0,2,5470,1221,5,1,54,27,2,6652,103,16,1,8,38,5670,935,11,126,517,6263,3139,2569,30,5521,3560,204,1388,43,651,135,785,303,2,3,740,1377,3429,1043,191,10.91,20.31,50.58,15.38,2.82,681,4284,1696,118,1,10.04,63.19,25.01,1.74,0.01
Bagmati,Sindhupalchok,Choutara Sangachowkgadhi,NP03,NP0323,NP0323302,11590,11217,280,70,23,4347,4519,2487,168,69,4152,7089,49,16,8,242,1,33,7298,4166,15,8,84,13,0,6,3236,255,112,119,7746,122,3518,6623,0,52,203,1127,10,0,57,8839,2693,15,4,30,4,5,11452,107,22,0,9,63,9541,1896,18,72,785,10805,5885,5874,202,9310,6588,1251,2896,225,1517,231,1895,1487,70,12,1615,2217,4473,2255,1030,13.93,19.13,38.59,19.46,8.89,1948,6029,3471,138,4,16.81,52.02,29.95,1.19,0.03
Bagmati,Sindhupalchok,Balephi,NP03,NP0323,NP0323406,4829,4647,156,19,7,2124,1686,967,42,10,2074,2653,17,5,3,75,1,1,3434,1341,11,3,38,2,0,0,1516,136,76,23,3056,22,1065,3494,0,1,36,198,2,31,2,3469,1315,4,0,41,0,0,4776,44,5,0,4,12,3712,1091,1,13,319,4510,2272,2411,127,3874,2299,310,1228,114,583,87,1057,792,43,4,896,1029,1521,876,507,18.55,21.31,31.5,18.14,10.5,977,2114,1708,30,0,20.23,43.78,35.37,0.62,0
Bagmati,Sindhupalchok,Bahrabise,NP03,NP0323,NP0323303,6655,6304,276,43,32,2571,2894,965,187,38,2551,3792,63,7,16,216,4,6,4508,2091,11,6,21,11,0,7,2217,153,92,29,4092,72,2043,3777,0,4,43,738,45,2,3,5021,1617,5,0,9,3,0,6551,87,9,0,8,264,5857,494,12,28,666,5989,1527,3117,156,5034,3824,268,379,108,578,86,801,716,46,5,1116,1521,2471,1150,397,16.77,22.85,37.13,17.28,5.97,1281,2994,2244,133,3,19.25,44.99,33.72,2,0.05
Bagmati,Sindhupalchok,Tripurasundari,NP03,NP0323,NP0323408,3651,3586,54,6,5,1666,1273,627,73,12,1768,1770,8,5,0,95,1,4,2728,911,4,0,8,0,0,0,1735,73,45,10,1777,11,1255,2120,0,1,19,246,4,2,4,3255,393,1,0,1,1,0,3570,57,18,1,5,2,3336,282,0,31,407,3244,1916,1477,16,2713,1452,80,141,28,154,20,131,154,3,1,816,1071,1321,389,54,22.35,29.33,36.18,10.65,1.48,295,1653,1639,63,1,8.08,45.28,44.89,1.73,0.03
Bagmati,Sindhupalchok,Lisankhu Pakhar,NP03,NP0323,NP0323409,3697,3617,71,6,3,1455,1492,674,60,16,1271,2335,28,3,1,53,1,5,2414,1243,5,7,23,3,0,2,1117,80,34,13,2439,14,1273,2337,20,0,24,40,0,0,3,3178,513,5,0,1,0,0,3674,18,4,0,1,5,3429,230,4,29,324,3373,1257,1516,23,3093,1617,165,211,40,305,29,47,149,20,5,607,772,1807,389,122,16.42,20.88,48.88,10.52,3.3,397,2228,1052,20,0,10.74,60.27,28.46,0.54,0
