province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,affected,theme,disaggregation,variable,value
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_50_54,51
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_50_54,21
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_50_54,30
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_55_59,68
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_55_59,34
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_55_59,34
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_60_64,46
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_60_64,23
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_60_64,23
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_65_69,42
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_65_69,25
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_65_69,17
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_70_74,33
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_70_74,18
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_70_74,15
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_75_79,25
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_75_79,12
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_75_79,13
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_80_84,14
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_80_84,6
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_80_84,8
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_85_89,7
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_85_89,4
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_85_89,3
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_90_94,4
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_90_94,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_90_94,4
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_95plus,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_95plus,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_95plus,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,population_total,1080
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,population_overall_male,525
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,population_overall_female,555
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_0_4,84
