province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,theme,variable,value
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,adult literacy,education_level_illiterate_pc_male,21.37
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,adult literacy,education_level_illiterate_pc_female,37.46
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_early_childhood_pc_total,2.25
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_early_childhood_pc_male,2.38
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_early_childhood_pc_female,2.12
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_basic_level_pc_total,43.13
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_basic_level_pc_male,49.34
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_basic_level_pc_female,37.18
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_secondary_pc_total,19.85
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_secondary_pc_male,22
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_secondary_pc_female,17.79
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_higher_education_pc_total,2.2
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_higher_education_pc_male,2.55
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_higher_education_pc_female,1.87
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_other_pc_total,2.99
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_other_pc_male,2.37
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_other_pc_female,3.58
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,urbanisation,population_urban,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,urbanisation,population_peri_urban,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,urbanisation,population_rural,15995
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,urbanisation,population_pc_urban,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,urbanisation,population_pc_peri_urban,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,urbanisation,population_pc_rural,100
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,child marriage,population_20_24_total,1381
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,child marriage,population_20_24_male,650
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,child marriage,population_20_24_female,731
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,child marriage,population_married_before_18_total,135
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,child marriage,population_married_before_18_male,20
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,child marriage,population_married_before_18_female,115
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,child marriage,child_marriage_rate_total,9.78
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,child marriage,child_marriage_rate_male,3.08
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,child marriage,child_marriage_rate_female,15.73
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,disabilities,population_with_disabilities,387
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,disabilities,population_without_disabilities,15608
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,disabilities,population_disability_not_reported,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,disabilities,disability_prevlance_rate,2.42
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,demographics,population_density,NA
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,demographics,total_households,4747
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,demographics,population_total,16490
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,demographics,population_male,7970
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,demographics,population_female,8520
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,demographics,average_household_size,3.473772909205814
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,demographics,sex_ratio,93.54460093896714
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,total_population_10_years_and_older,13789
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,male_population_10_years_and_older,6653
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,female_population_10_years_and_older,7136
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,total_usually_economically_active_employed,7328
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,male_usually_economically_active_employed,3749
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,female_usually_economically_active_employed,3579
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,total_usually_economically_active_unemployed,417
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,male_usually_economically_active_unemployed,255
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,female_usually_economically_active_unemployed,162
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,total_not_usually_economically_active,3198
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,male_not_usually_economically_active,1390
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,female_not_usually_economically_active,1808
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,total_not_economically_active,2840
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,male_not_economically_active,1257
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,female_not_economically_active,1583
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,total_economic_activity_not_stated,6
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,male_economic_activity_not_stated,2
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,economic activity,female_economic_activity_not_stated,4
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_all_ages,16490
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_00_04_yrs,1285
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_05_09_yrs,1416
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_10_14_yrs,1587
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_15_19_yrs,1776
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_20_24_yrs,1387
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_25_29_yrs,1213
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_30_34_yrs,950
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_35_39_yrs,871
